time,price,rating
140,468.0,5.0
788,820.0,4.5
123,410.0,4.5
676,615.0,4.5
600,820.0,4.5
635,656.0,5.0
143,233.0,5.0
752,820.0,5.0
656,1256.0,5.0
802,820.0,5.0
528,820.0,4.5
323,1206.0,5.0
361,1206.0,5.0
778,820.0,5.0
715,1093.0,4.0
145,467.0,4.5
304,1206.0,5.0
881,836.0,5.0
618,1256.0,5.0
1002,1003.0,5.0
732,615.0,5.0
1409,957.0,4.5
406,683.0,5.0
157,469.0,4.5
632,820.0,5.0
166,468.0,5.0
429,1256.0,5.0
152,469.0,5.0
824,820.0,4.5
113,233.0,5.0
148,468.0,5.0
192,374.0,5.0
368,702.0,5.0
626,656.0,5.0
193,501.0,0.0
341,284.0,4.5
163,467.0,4.0
443,575.0,5.0
879,836.0,5.0
118,668.0,5.0
991,1003.0,5.0
215,305.0,4.5
199,305.0,5.0
91,410.0,4.0
1389,1170.0,5.0
213,305.0,4.5
231,615.0,4.0
121,233.0,5.0
764,656.0,5.0
159,266.0,0.0
467,1005.0,0.0
455,575.0,5.0
22,323.0,4.5
804,1256.0,5.0
1057,516.0,5.0
1375,1170.0,5.0
122,233.0,5.0
130,445.0,5.0
349,585.0,5.0
327,702.0,5.0
373,703.0,0.0
94,266.0,0.0
13,117.0,0.0
512,820.0,5.0
471,445.0,5.0
310,468.0,5.0
327,585.0,5.0
174,305.0,5.0
95,266.0,0.0
143,192.0,0.0
33,76.0,0.0
217,192.0,0.0
679,821.0,0.0
176,200.0,0.0
418,706.0,0.0
341,904.0,0.0
43,679.0,0.0
9,112.0,0.0
126,531.0,0.0
570,586.0,0.0
338,904.0,0.0
97,586.0,0.0
456,586.0,5.0
570,683.0,5.0
89,410.0,3.5
103,233.0,5.0
264,305.0,5.0
492,703.0,0.0
166,305.0,5.0
330,1172.0,0.0
58,683.0,0.0
109,233.0,5.0
402,949.0,5.0
198,585.0,0.0
110,233.0,5.0
369,322.0,4.5
188,305.0,0.0
131,585.0,5.0
672,702.0,0.0
30,76.0,0.0
335,323.0,0.0
272,569.0,4.5
277,468.0,5.0
231,468.0,5.0
230,305.0,4.0
410,615.0,0.0
188,266.0,5.0
232,305.0,5.0
408,323.0,0.0
962,836.0,3.0
252,615.0,0.0
235,398.0,0.0
20,352.0,0.0
245,305.0,5.0
45,164.0,5.0
210,305.0,5.0
12,76.0,0.0
296,1003.0,5.0
174,656.0,0.0
101,234.0,0.0
159,305.0,5.0
141,305.0,5.0
235,303.0,5.0
175,410.0,0.0
23,323.0,5.0
39,284.0,4.5
454,575.0,5.0
417,569.0,5.0
11,32.0,0.0
147,166.0,0.0
13,234.0,0.0
238,305.0,5.0
183,305.0,5.0
11,38.0,0.0
11,75.0,0.0
338,469.0,0.0
289,410.0,4.5
42,76.0,0.0
404,32.0,4.0
43,410.0,0.0
411,1005.0,5.0
375,615.0,0.0
945,468.0,0.0
438,799.0,0.0
312,664.0,0.0
301,569.0,0.0
180,585.0,0.0
175,166.0,0.0
106,234.0,0.0
335,615.0,0.0
348,410.0,0.0
26,38.0,0.0
33,38.0,0.0
21,38.0,0.0
29,38.0,0.0
79,204.0,0.0
6,410.0,0.0
495,568.0,0.0
377,569.0,0.0
135,1172.0,0.0
553,703.0,0.0
29,32.0,0.0
141,166.0,0.0
257,186.0,0.0
457,797.0,4.5
151,305.0,0.0
31,99.0,0.0
11,65.0,0.0
10,65.0,0.0
90,300.0,0.0
8,32.0,0.0
262,398.0,0.0
64,113.0,0.0
239,469.0,0.0
573,493.0,0.0
133,573.0,0.0
402,468.0,0.0
561,759.0,0.0
149,367.0,0.0
174,192.0,0.0
